Date,Open,High,Low,Close,Adj Close,Volume
23-07-2004,65.407982,66.936066,64.858154,66.586182,56.368099,61656848
26-07-2004,66.550476,68.407036,65.707886,68.164253,57.704014,56374763
27-07-2004,68.54985,68.978287,66.050636,66.421944,56.229076,109098781
28-07-2004,65.979225,67.835785,65.979225,67.250259,56.930283,57910066
29-07-2004,67.835785,67.907188,67.014618,67.764381,57.36549,36687969
30-07-2004,67.850067,70.049377,67.842926,69.820877,59.106411,49793021
02-08-2004,69.692345,70.834839,69.271049,70.563499,59.735073,49535326
03-08-2004,70.584923,71.384666,69.606659,69.892281,59.166859,58275196
04-08-2004,70.120781,70.620621,69.056831,70.442108,59.632301,47200308
05-08-2004,70.963371,72.077309,70.713448,71.834526,60.811058,44496946
06-08-2004,71.677437,71.827385,70.163628,70.534935,59.710888,38368708
09-08-2004,70.263596,70.720589,69.428139,70.292152,59.505356,42143995
10-08-2004,70.413544,71.327545,69.977966,70.934807,60.049412,32640170
11-08-2004,70.977654,71.234718,68.199959,68.542709,58.02438,50036109
12-08-2004,68.578407,69.092529,67.307381,67.87149,57.456161,44375017
13-08-2004,68.121407,68.692657,67.550163,68.107132,57.655659,51822224
16-08-2004,67.714394,68.742645,67.314522,68.385612,57.891415,35070789
17-08-2004,79.260757,79.260757,67.985741,68.492722,57.982059,38871452
18-08-2004,68.09285,68.09285,67.021759,67.200272,56.887959,30637491
19-08-2004,67.407349,68.09285,67.278816,67.864349,57.450123,32792909
20-08-2004,67.91433,67.992882,66.050636,66.179169,56.023552,36394857
23-08-2004,66.264854,66.507629,64.051262,64.444,54.554653,56588113
24-08-2004,64.629654,65.50795,64.358307,64.772469,54.832722,51012132
25-08-2004,64.836731,65.536507,64.32975,65.407982,55.370708,43924138
26-08-2004,65.836418,66.600456,65.593636,65.793571,55.697136,45738423
27-08-2004,65.872116,66.179169,64.786743,65.436539,55.394878,33399958
30-08-2004,65.8507,66.893227,65.8507,66.721848,56.482948,24546449
31-08-2004,66.843239,68.099991,66.843239,67.928612,57.504528,37131720
01-09-2004,67.928612,68.464157,67.707253,67.9786,57.546837,23045800
02-09-2004,67.835785,68.264221,67.221695,67.400208,57.057217,26193010
03-09-2004,67.521599,67.821503,66.921791,67.664413,57.28088,27420861
06-09-2004,67.850067,68.535568,67.771523,68.135689,57.679825,19899072
07-09-2004,67.992882,69.456703,67.992882,69.228203,58.604671,44176553
08-09-2004,69.54953,69.54953,68.70694,68.93544,58.356846,28972332
09-09-2004,69.520973,69.606659,68.735504,69.363876,58.71954,35973268
10-09-2004,69.263908,69.799454,68.856895,69.670921,58.979477,19999029
13-09-2004,70.106499,70.663467,69.292473,70.11364,59.354244,30957254
14-09-2004,70.192184,70.384979,69.085396,69.456703,58.798119,25078364
15-09-2004,69.542389,70.235031,69.178223,69.642357,58.955296,23315265
16-09-2004,69.763748,70.235031,68.942581,70.099358,59.342163,24019239
17-09-2004,70.770576,72.834213,70.713448,72.712822,61.554569,58090653
20-09-2004,73.119835,73.119835,71.413231,71.698853,60.69619,31694131
